"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol","entrez"
"ENSG00000178974",358.378827501393,-0.147129811812809,0.111426035413073,0.142811334795046,0.367622127851325,"FBXO34","55030"
"ENSG00000173614",286.350880495894,-0.148975798226863,0.113286384931549,0.142818378637046,0.367622127851325,"NMNAT1","64802"
"ENSG00000076662",141.642093435091,0.217820159399617,0.213848264513699,0.142856708639207,0.367662049981832,"ICAM3","3385"
"ENSG00000255561",15.4076907380319,-0.204265763830753,0.294750492735002,0.14291972587026,0.367737978632831,"FDXACB1","91893"
"ENSG00000168803",187.440146291871,-0.190457340156663,0.161648168291861,0.142943563268615,0.367737978632831,"MAPDA","161823"
"ENSG00000124688",281.11799488411,0.15682921557154,0.120972125549863,0.142954686870922,0.367737978632831,"MAD2L1BP","9587"
"ENSG00000188396",11.3249969081727,-0.180071030257009,0.303076970185685,0.142988507743167,0.367766259299197,"DYNLT4","343521"
"ENSG00000188185",132.198594203587,-0.208889062159507,0.19376483411793,0.143248092846328,0.368268179260441,NA,NA
"ENSG00000111667",1621.2261940759,-0.146591876754602,0.110758167887757,0.143258078801456,0.368268179260441,"USP5","8078"
"ENSG00000197530",859.547207663921,-0.177617055008044,0.144773740345393,0.143271020158417,0.368268179260441,"MIB2","142678"
"ENSG00000138193",334.166672451462,0.22249961632803,0.255156710374906,0.143275088300195,0.368268179260441,"PLCE1","51196"
"ENSG00000106829",793.230128828573,-0.176784257755692,0.143690374319801,0.143342480591053,0.368376024493867,"TLE4","7091"
"ENSG00000018236",46.0592350940389,0.219508827184013,0.225977843350512,0.143362775344581,0.368376024493867,"CNTN1","1272"
"ENSG00000169045",4148.95394857418,0.173390480172974,0.139080738008843,0.143424295766429,0.368455171546951,"HNRNPH1","3187"
"ENSG00000183207",715.131186991217,0.161874505799895,0.126169394840736,0.143439316984822,0.368455171546951,"RUVBL2","10856"
"ENSG00000136425",47.6441127315579,-0.221227912524393,0.237623997045307,0.143485556207783,0.368515191465581,"CIB2","10518"
"ENSG00000254612",348.28703040358,0.172775431691156,0.138408986268411,0.143672140231075,0.36893558356118,"DNAJB6P1","387820"
